Division No.,Division Name,School No.,School Name,Grade,Hispanic,American_Indian_Alaska_Native,Asian,Black,Native_Hawaiian_Pacific_Islander,White,Two_More_Races,"TotalFull-time Students",Part-time Students,Totals
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,KG,33,0,3,10,0,19,2,67,0,65
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,PK,19,0,3,6,0,6,3,37,0,34
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,1,44,0,2,6,0,19,5,76,0,71
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,2,37,0,3,6,0,24,10,80,0,70
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,3,33,0,9,7,0,27,1,77,0,76
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,4,37,1,5,8,0,23,3,77,0,74
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,5,56,0,5,10,0,25,1,97,0,96
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,KG,38,0,3,8,0,17,7,73,0,66
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,PK,38,2,3,6,0,8,2,59,0,57
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,1,19,0,5,9,0,17,8,58,0,50
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,2,26,0,3,5,0,26,2,62,0,60
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,3,30,0,4,10,0,14,5,63,0,58
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,4,22,0,5,11,0,22,1,61,0,60
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,5,28,0,3,6,0,19,0,56,0,56
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,KG,31,0,3,9,0,19,1,63,0,62
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,PK,29,2,7,11,0,9,8,66,0,58
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,1,50,1,6,7,0,6,3,73,0,70
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,2,62,0,13,11,0,4,1,91,0,90
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,3,61,1,7,14,0,1,2,86,0,84
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,4,72,0,5,6,0,5,2,90,0,88
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,5,63,3,6,12,0,9,2,95,0,93
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,KG,56,0,7,10,0,7,3,83,0,80
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,PK,57,0,11,12,0,12,6,98,0,92
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,1,70,0,3,3,0,47,10,133,0,123
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,2,41,1,3,6,0,45,5,101,0,96
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,3,59,0,3,7,0,39,5,113,0,108
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,4,76,0,4,5,0,37,2,124,0,122
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,5,65,2,3,4,0,26,4,104,0,100
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,KG,68,1,3,6,0,45,10,133,0,123
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,PK,33,0,1,1,0,1,0,36,0,36
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,1,4,0,5,3,0,71,8,91,0,83
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,2,7,0,7,2,0,70,8,94,0,86
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,3,8,0,6,0,0,59,10,83,0,73
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,4,7,0,10,2,0,80,13,112,0,99
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,5,8,0,7,2,0,95,7,119,0,112
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,KG,9,0,6,2,0,75,9,101,0,92
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,PK,5,0,3,1,0,10,2,21,0,19
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,1,32,0,10,31,0,26,6,105,0,99
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,2,27,1,8,25,0,28,8,97,0,89
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,3,34,2,4,31,0,21,4,96,0,92
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,4,35,0,4,19,0,19,3,80,0,77
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,5,30,0,4,21,0,23,3,81,0,78
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,KG,31,3,8,26,0,28,5,101,0,96
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,PK,29,0,13,40,1,36,16,135,0,119
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,1,59,0,7,6,0,48,9,129,0,120
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,2,63,0,1,5,0,44,1,114,0,113
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,3,55,1,4,5,0,46,8,119,0,111
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,4,65,2,8,6,0,32,1,114,0,113
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,5,46,1,2,8,0,28,2,87,0,85
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,KG,71,0,7,3,0,48,14,143,0,129
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,PK,26,1,2,2,0,2,0,33,0,33
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,1,20,0,6,12,0,66,9,113,0,104
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,2,13,0,12,12,0,49,5,91,0,86
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,3,18,0,8,6,0,53,10,95,0,85
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,4,8,0,13,7,0,66,1,95,0,94
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,5,27,0,9,5,0,67,4,112,0,108
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,KG,22,0,10,5,0,64,7,108,0,101
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,PK,3,0,1,2,0,2,3,11,0,8
7,ARLINGTON CO PBLC SCHS,611,GUNSTON MIDDLE,6,135,1,30,54,1,122,11,354,0,343
7,ARLINGTON CO PBLC SCHS,611,GUNSTON MIDDLE,7,122,1,31,42,0,127,22,345,0,323
7,ARLINGTON CO PBLC SCHS,611,GUNSTON MIDDLE,8,123,0,26,52,0,98,25,324,0,299
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,1,29,1,13,11,0,52,11,117,0,106
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,2,33,0,12,16,0,43,7,111,0,104
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,3,32,0,11,5,0,43,9,100,0,91
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,4,43,0,15,8,1,32,3,102,0,99
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,5,32,0,9,16,0,28,1,86,0,85
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,KG,27,0,14,8,1,49,9,108,0,99
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,PK,17,0,7,6,0,5,2,37,0,35
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,1,14,0,9,13,0,11,1,48,0,47
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,2,24,0,16,14,0,6,3,63,0,60
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,3,17,0,15,16,0,11,1,60,0,59
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,4,14,2,11,20,0,6,3,56,0,53
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,5,21,1,14,20,0,5,4,65,0,61
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,KG,21,0,20,10,0,14,6,71,0,65
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,PK,33,2,40,38,0,39,11,163,0,152
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,1,8,0,3,2,0,74,7,94,0,87
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,2,2,0,2,2,0,74,6,86,0,80
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,3,8,0,5,1,0,87,7,108,0,101
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,4,4,0,5,2,0,70,8,89,0,81
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,5,4,0,2,1,0,72,11,90,0,79
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,KG,5,0,6,0,0,70,5,86,0,81
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,PK,11,0,8,1,0,31,6,57,0,51
7,ARLINGTON CO PBLC SCHS,180,JEFFERSON MIDDLE,6,114,1,46,66,1,122,19,369,0,350
7,ARLINGTON CO PBLC SCHS,180,JEFFERSON MIDDLE,7,125,1,48,60,1,135,12,382,0,370
7,ARLINGTON CO PBLC SCHS,180,JEFFERSON MIDDLE,8,125,1,38,57,0,112,10,343,0,333
7,ARLINGTON CO PBLC SCHS,500,KENMORE MIDDLE,6,160,3,30,33,1,96,20,343,0,323
7,ARLINGTON CO PBLC SCHS,500,KENMORE MIDDLE,7,149,0,32,31,0,96,12,320,0,308
7,ARLINGTON CO PBLC SCHS,500,KENMORE MIDDLE,8,126,1,27,40,0,91,11,296,0,285
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,1,20,0,7,14,0,51,3,95,0,92
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,2,26,0,10,15,0,51,10,112,0,102
